29 -82
38 -80
38 -82
38 -85
40 -99
47 -92
58 -83
60 -75
42 -66
35 -55
38 -52
41 -49
40 -30
44 -29
51 -51
70 -47
69 -64
75 -70
86 -78
89 -53
87 -50
100 -38
98 -36
96 -15
96 -11
82 -23
75 -16
73 -16
67 -15
74 7
82 17
97 25
93 35
89 37
79 49
74 47
57 38
58 36
55 27
68 19
61 15
57 14
44 13
51 1
51 -2
49 -3
37 -9
29 -14
19 -21
14 -37
-5 -54
-25 -59
-16 -40
-25 -28
-17 -19
0 -22
3 -25
6 -22
2 -9
14 2
-9 4
-4 26
-15 28
-21 29
-28 41
-32 41
-33 44
-25 56
-7 57
12 43
30 28
34 18
35 36
33 51
25 63
34 61
56 73
64 74
84 71
86 71
84 80
88 85
92 94
68 93
60 94
42 83
35 85
13 98
9 81
-9 65
-11 74
-15 88
-20 89
-28 76
-49 97
-72 95
-85 81
-99 93
-97 81
-97 50
-89 62
-85 69
-70 72
-62 74
-72 53
-72 51
-72 24
-63 22
-60 24
-56 32
-52 23
-51 22
-37 26
-30 22
-37 -2
-40 3
-49 13
-59 4
-46 -4
-51 -9
-44 -16
-47 -17
-66 -29
-70 -40
-73 -53
-84 -41
-78 -29
-86 -26
-97 -43
-87 -73
-70 -94
-68 -97
-65 -89
-61 -89
-63 -74
-62 -68
-47 -54
-46 -49
-42 -60
-36 -79
-22 -82
-11 -86
-7 -97
-6 -83
-3 -71
-3 -70
15 -69
29 -73
26 -87
29 -82
